Hold .,Hold t,Hold i,Hold e,Hold Shift,Hold 5,Hold Shift,Hold Caps,Hold r,Hold o,Hold a,Hold n,Hold l,Hold Enter,DD ..t,DD t.i,DD i.e,DD e.Shift,DD Shift.5,DD 5.Shift,DD Shift.Caps,DD Caps.r,DD r.o,DD o.a,DD a.n,DD n.l,DD l.Enter,UD ..t,UD t.i,UD i.e,UD e.Shift,UD Shift.5,UD 5.Shift,UD Shift.Caps,UD Caps.r,UD r.o,UD o.a,UD a.n,UD n.l,UD l.Enter,Pressure .,Pressure t,Pressure i,Pressure e,Pressure Shift,Pressure 5,Pressure Shift,Pressure Caps,Pressure r,Pressure o,Pressure a,Pressure n,Pressure l,Pressure Enter,Size .,Size t,Size i,Size e,Size Shift,Size 5,Size Shift,Size Caps,Size r,Size o,Size a,Size n,Size l,Size Enter,AvH,AvP,AvA,Subject
89,92,64,85,123,82,70,101,84,78,110,91,94,70,383,622,593,837,586,444,600,431,618,559,496,313,474,294,530,529,752,463,362,530,330,534,481,386,222,380,0.230400011,0.263999999,0.26880002,0.13440001,0.172800004,0.316800028,0.393600017,0.110400006,0.115200005,0.158400014,0.129600003,0.105600007,0.139200002,0.13440001,0.387096763,0.290322572,0.225806445,0.290322572,0.354838699,0.258064508,0.322580636,0.225806445,0.225806445,0.322580636,0.290322572,0.225806445,0.354838699,0.258064508,88.07142857,0.190971438,0.288018425,1
90,88,99,83,123,101,81,94,88,82,91,109,90,70,418,449,431,794,527,479,820,435,773,545,642,349,502,328,361,332,711,404,378,739,341,685,463,551,240,412,0.13440001,0.129600003,0.139200002,0.124800004,0.129600003,0.18720001,0.393600017,0.115200005,0.129600003,0.153600007,0.393600017,0.278400004,0.158400014,0.144000009,0.290322572,0.258064508,0.225806445,0.225806445,0.225806445,0.225806445,0.322580636,0.225806445,0.225806445,0.322580636,0.322580636,0.258064508,0.387096763,0.322580636,92.07142857,0.186514294,0.27419354,1
87,90,83,65,79,73,96,62,64,109,116,105,73,68,450,464,458,468,499,395,436,495,881,522,975,309,542,363,374,375,403,420,322,340,433,817,413,859,204,469,0.18720001,0.297600001,0.331200004,0.124800004,0.124800004,0.115200005,0.139200002,0.292800009,0.105600007,0.163200006,0.163200006,0.312000006,0.120000005,0.129600003,0.387096763,0.322580636,0.290322572,0.258064508,0.258064508,0.290322572,0.258064508,0.225806445,0.193548381,0.290322572,0.322580636,0.225806445,0.258064508,0.225806445,83.57142857,0.186171434,0.271889393,1
71,81,62,72,83,94,89,104,73,79,79,92,83,78,535,434,475,513,484,646,576,449,713,1236,481,318,493,464,353,413,441,401,552,487,345,640,1157,402,226,410,0.110400006,0.129600003,0.278400004,0.124800004,0.115200005,0.091200002,0.465600014,0.100800008,0.244800016,0.129600003,0.129600003,0.120000005,0.139200002,0.312000006,0.225806445,0.322580636,0.290322572,0.290322572,0.225806445,0.225806445,0.45161289,0.225806445,0.225806445,0.258064508,0.290322572,0.225806445,0.322580636,0.322580636,81.42857143,0.177942863,0.278801835,1
89,72,82,82,62,89,68,88,69,65,81,92,77,68,428,363,530,419,547,700,458,433,1569,537,523,344,734,339,291,448,337,485,611,390,345,1500,472,442,252,657,0.120000005,0.283200026,0.144000009,0.148800001,0.139200002,0.115200005,0.148800001,0.120000005,0.124800004,0.144000009,0.110400006,0.259200007,0.120000005,0.307200015,0.258064508,0.290322572,0.290322572,0.322580636,0.290322572,0.258064508,0.258064508,0.290322572,0.225806445,0.322580636,0.258064508,0.225806445,0.290322572,0.387096763,77.42857143,0.163200007,0.28341013,1
82,81,91,65,130,88,61,113,72,73,85,94,104,74,490,431,525,594,539,442,1357,477,844,476,520,345,485,408,350,434,529,409,354,1296,364,772,403,435,251,381,0.028800001,0.124800004,0.172800004,0.153600007,0.129600003,0.086400002,0.163200006,0.105600007,0.110400006,0.216000006,0.292800009,0.120000005,0.336000025,0.129600003,0.193548381,0.322580636,0.354838699,0.322580636,0.290322572,0.225806445,0.354838699,0.258064508,0.225806445,0.387096763,0.258064508,0.258064508,0.322580636,0.193548381,86.64285714,0.154971435,0.28341013,1
100,72,79,53,110,119,88,58,64,63,75,109,73,64,405,783,648,354,500,578,693,509,1049,457,533,352,425,305,711,569,301,390,459,605,451,985,394,458,243,352,0.13440001,0.249600008,0.124800004,0.259200007,0.105600007,0.115200005,0.542400002,0.24000001,0.115200005,0.120000005,0.096000001,0.120000005,0.263999999,0.148800001,0.290322572,0.193548381,0.258064508,0.483870953,0.225806445,0.258064508,0.483870953,0.290322572,0.258064508,0.322580636,0.225806445,0.258064508,0.354838699,0.322580636,80.5,0.188228576,0.301843309,1
133,118,145,118,88,102,89,105,103,129,126,149,111,108,1462,499,376,532,728,681,498,386,743,341,495,412,573,1329,381,231,414,640,579,409,281,640,212,369,263,462,0.379200011,0.518400013,1.003200054,0.974400043,0.196800008,0.096000001,0.216000006,0.105600007,0.096000001,0.220800012,0.129600003,0.124800004,0.163200006,0.302400023,0.258064508,0.258064508,0.516129017,0.419354826,0.419354826,0.258064508,0.387096763,0.290322572,0.193548381,0.419354826,0.258064508,0.258064508,0.290322572,0.45161289,116,0.3233143,0.334101373,1
136,104,147,92,79,129,88,69,120,146,126,139,129,120,418,395,556,611,501,476,458,392,888,326,387,379,642,282,291,409,519,422,347,370,323,768,180,261,240,513,0.124800004,0.715200007,0.940800071,0.988800049,0.158400014,0.091200002,0.796800017,0.096000001,0.091200002,0.196800008,0.201600015,0.100800008,0.153600007,0.302400023,0.290322572,0.322580636,0.419354826,0.483870953,0.354838699,0.225806445,0.516129017,0.322580636,0.322580636,0.419354826,0.354838699,0.225806445,0.290322572,0.516129017,116,0.354171445,0.361751141,1
150,139,135,106,79,100,97,95,97,139,101,157,110,129,565,539,480,348,486,418,451,671,585,284,318,576,536,415,400,345,242,407,318,354,576,488,145,217,419,426,0.384000003,0.144000009,1.003200054,0.59040004,0.158400014,0.091200002,0.206400007,0.115200005,0.115200005,0.259200007,0.120000005,0.115200005,0.216000006,0.955200016,0.322580636,0.258064508,0.677419305,0.354838699,0.322580636,0.290322572,0.387096763,0.322580636,0.258064508,0.419354826,0.290322572,0.258064508,0.419354826,0.612903237,116.7142857,0.31954287,0.370967731,1
147,98,155,92,78,91,96,96,101,129,115,138,136,101,373,404,586,708,932,322,565,442,497,265,346,589,462,226,306,431,616,854,231,469,346,396,136,231,451,326,0.096000001,0.657600045,0.249600008,0.192000002,0.163200006,0.081600003,0.691200018,0.110400006,0.110400006,0.825600028,0.744000018,0.45600003,0.638400018,0.302400023,0.290322572,0.387096763,0.45161289,0.290322572,0.354838699,0.225806445,0.612903237,0.225806445,0.258064508,0.516129017,0.419354826,0.290322572,0.483870953,0.548387051,112.3571429,0.379885729,0.382488468,1
165,93,123,64,80,88,108,76,102,136,106,159,137,81,404,379,289,346,611,325,1001,337,638,295,415,350,490,239,286,166,282,531,237,893,261,536,159,309,191,353,0.110400006,0.950400054,0.844800055,1.075200081,0.220800012,0.086400002,0.672000051,0.110400006,0.100800008,0.72480005,0.124800004,0.105600007,0.561600029,0.302400023,0.290322572,0.580645144,0.516129017,0.516129017,0.45161289,0.225806445,0.45161289,0.258064508,0.354838699,0.483870953,0.290322572,0.225806445,0.322580636,0.483870953,108.4285714,0.427885742,0.38940091,1
136,135,139,100,59,79,80,79,93,148,110,121,135,109,372,382,381,857,1407,389,445,357,576,312,396,353,513,236,247,242,757,1348,310,365,278,483,164,286,232,378,0.096000001,0.172800004,0.921600044,0.638400018,0.13440001,0.076800004,0.244800016,0.196800008,0.100800008,0.235200018,0.302400023,0.393600017,0.115200005,0.302400023,0.225806445,0.387096763,0.419354826,0.354838699,0.258064508,0.258064508,0.387096763,0.290322572,0.258064508,0.516129017,0.548387051,0.322580636,0.225806445,0.580645144,108.7857143,0.280800014,0.359446992,1
148,95,165,81,84,74,88,97,102,150,125,135,127,129,447,417,589,776,528,554,572,405,500,310,433,316,493,299,322,424,695,444,480,484,308,398,160,308,181,366,0.081600003,0.652800024,0.705600023,0.139200002,0.470400035,0.057600003,0.542400002,0.091200002,0.081600003,0.254400015,0.302400023,0.105600007,0.110400006,0.806400061,0.258064508,0.354838699,0.483870953,0.290322572,0.354838699,0.225806445,0.516129017,0.258064508,0.193548381,0.483870953,0.419354826,0.290322572,0.258064508,0.580645144,114.2857143,0.314400015,0.354838699,1
139,137,159,90,85,84,79,72,100,148,134,120,135,98,547,425,345,710,484,388,723,342,849,313,484,315,528,408,288,186,620,399,304,644,270,749,165,350,195,393,0.480000019,0.619200051,0.283200026,1.003200054,0.523200035,0.081600003,0.302400023,0.096000001,0.086400002,0.192000002,0.172800004,0.100800008,0.13440001,0.710400045,0.290322572,0.387096763,0.45161289,0.677419305,0.322580636,0.225806445,0.483870953,0.290322572,0.225806445,0.290322572,0.290322572,0.290322572,0.258064508,0.483870953,112.8571429,0.341828592,0.354838697,1
164,110,158,82,79,85,87,87,95,144,109,151,137,100,477,399,348,384,596,323,586,348,470,281,389,406,448,313,289,190,302,517,238,499,261,375,137,280,255,311,0.532800019,0.263999999,0.931200027,0.302400023,0.139200002,0.076800004,0.230400011,0.129600003,0.100800008,0.302400023,0.216000006,0.110400006,0.561600029,0.801600039,0.322580636,0.387096763,0.580645144,0.548387051,0.290322572,0.290322572,0.354838699,0.322580636,0.193548381,0.516129017,0.516129017,0.322580636,0.322580636,0.548387051,113.4285714,0.335657157,0.394009201,1
166,87,162,109,43,92,107,90,93,155,117,159,145,91,450,423,453,398,517,391,466,387,475,358,814,402,490,284,336,291,289,474,299,359,297,382,203,697,243,345,0.499200016,0.950400054,0.182400003,0.120000005,0.163200006,0.052800003,0.201600015,0.355200022,0.124800004,0.259200007,0.59040004,0.110400006,0.124800004,0.302400023,0.290322572,0.45161289,0.322580636,0.258064508,0.290322572,0.258064508,0.354838699,0.322580636,0.354838699,0.387096763,0.322580636,0.258064508,0.290322572,0.483870953,115.4285714,0.288342872,0.331797225,1
161,93,165,91,96,83,118,98,92,152,116,147,120,92,397,462,433,477,522,367,515,468,834,515,306,364,454,236,369,268,386,426,284,397,370,742,363,190,217,334,0.100800008,0.720000029,0.782400012,0.820800066,0.120000005,0.091200002,0.302400023,0.312000006,0.096000001,0.451200008,0.206400007,0.110400006,0.139200002,0.273600012,0.225806445,0.516129017,0.516129017,0.387096763,0.290322572,0.290322572,0.516129017,0.290322572,0.322580636,0.354838699,0.419354826,0.225806445,0.258064508,0.483870953,116,0.323314299,0.364055289,1
80,97,156,86,97,94,104,80,103,147,99,157,71,91,1676,309,489,339,463,357,418,363,477,390,485,376,504,1596,212,333,253,366,263,314,283,374,243,386,219,433,0.100800008,0.129600003,0.763200045,1.036800027,0.192000002,0.244800016,0.796800017,0.158400014,0.129600003,0.192000002,0.484800011,0.110400006,0.672000051,0.835200012,0.290322572,0.290322572,0.45161289,0.516129017,0.387096763,0.290322572,0.645161271,0.322580636,0.322580636,0.419354826,0.322580636,0.290322572,0.419354826,0.516129017,104.4285714,0.417600015,0.391705057,1
180,105,95,129,85,91,83,77,102,155,121,152,135,101,551,544,542,911,507,1073,1657,519,656,2128,416,330,549,371,439,447,782,422,982,1574,442,554,1973,295,178,414,0.513600051,0.547200024,0.739200056,0.916800022,0.182400003,0.096000001,0.244800016,0.081600003,0.096000001,0.792000055,0.926400065,0.081600003,0.129600003,0.902400017,0.354838699,0.322580636,0.516129017,0.741935492,0.387096763,0.225806445,0.387096763,0.225806445,0.225806445,0.483870953,0.419354826,0.225806445,0.258064508,0.516129017,115.0714286,0.446400023,0.377880175,1
143,112,146,110,77,78,105,76,102,163,107,172,148,72,374,398,351,1179,502,311,627,361,878,326,417,373,612,231,286,205,1069,425,233,522,285,776,163,310,201,464,0.432000011,0.619200051,0.676800013,0.99360007,0.700800061,0.067200005,0.302400023,0.105600007,0.100800008,0.206400007,0.633600056,0.105600007,0.182400003,0.230400011,0.258064508,0.225806445,0.45161289,0.548387051,0.419354826,0.193548381,0.516129017,0.258064508,0.258064508,0.45161289,0.258064508,0.258064508,0.354838699,0.387096763,115.0714286,0.382628595,0.345622107,1
149,111,173,90,97,101,90,87,100,142,99,138,127,81,362,437,466,559,536,323,577,374,477,289,380,314,524,213,326,293,469,439,222,487,287,377,147,281,176,397,0.144000009,0.158400014,0.216000006,0.595200002,0.144000009,0.091200002,0.897600055,0.340800017,0.100800008,0.59040004,0.177600011,0.388800025,0.158400014,0.302400023,0.322580636,0.290322572,0.354838699,0.258064508,0.290322572,0.225806445,0.516129017,0.290322572,0.258064508,0.354838699,0.322580636,0.354838699,0.387096763,0.483870953,113.2142857,0.307542874,0.33640552,1
156,94,154,94,89,107,107,95,91,148,104,119,118,111,424,360,336,430,988,427,1178,393,426,782,281,291,506,268,266,182,336,899,320,1071,298,335,634,177,172,388,0.13440001,0.64320004,0.302400023,0.729600012,0.244800016,0.26880002,0.273600012,0.091200002,0.115200005,0.172800004,0.542400002,0.096000001,0.172800004,1.003200054,0.387096763,0.322580636,0.709677398,0.45161289,0.387096763,0.258064508,0.419354826,0.225806445,0.322580636,0.322580636,0.322580636,0.193548381,0.419354826,0.645161271,113.3571429,0.342171443,0.384792615,1
136,84,147,81,89,87,98,78,110,145,98,143,147,98,402,465,334,380,751,354,816,374,615,294,287,356,537,266,381,187,299,662,267,718,296,505,149,189,213,390,0.096000001,0.18720001,0.302400023,0.168000013,0.139200002,0.100800008,0.532800019,0.110400006,0.096000001,0.868800044,0.124800004,0.105600007,0.144000009,0.273600012,0.193548381,0.290322572,0.548387051,0.290322572,0.290322572,0.322580636,0.483870953,0.322580636,0.290322572,0.516129017,0.290322572,0.290322572,0.290322572,0.387096763,110.0714286,0.232114297,0.34331796,1
154,132,172,100,79,102,87,93,119,141,89,128,136,90,425,408,365,442,559,345,709,360,518,1513,274,243,443,271,276,193,342,480,243,622,267,399,1372,185,115,307,0.552000046,0.499200016,0.225600004,0.739200056,0.192000002,0.076800004,0.657600045,0.086400002,0.091200002,0.960000038,0.609600008,0.096000001,0.158400014,0.26880002,0.322580636,0.258064508,0.354838699,0.516129017,0.354838699,0.225806445,0.419354826,0.193548381,0.225806445,0.806451559,0.419354826,0.225806445,0.290322572,0.45161289,115.8571429,0.372342875,0.361751139,1
154,102,153,74,87,96,97,90,110,154,114,139,128,92,326,408,354,392,485,327,438,547,951,355,327,302,504,172,306,201,318,398,231,341,457,841,201,213,163,376,0.124800004,0.744000018,0.302400023,0.691200018,0.13440001,0.096000001,0.302400023,0.081600003,0.120000005,0.235200018,0.230400011,0.105600007,0.518400013,0.705600023,0.290322572,0.354838699,0.580645144,0.354838699,0.290322572,0.258064508,0.45161289,0.161290318,0.354838699,0.45161289,0.387096763,0.290322572,0.354838699,0.483870953,113.5714286,0.313714298,0.361751141,1
155,85,155,82,51,101,103,89,108,163,115,132,118,101,638,337,356,931,500,392,633,335,622,300,334,273,501,483,252,201,849,449,291,530,246,514,137,219,141,383,0.120000005,0.216000006,0.782400012,0.168000013,0.163200006,0.081600003,0.302400023,0.096000001,0.115200005,0.249600008,0.18720001,0.45600003,0.652800024,0.969600022,0.322580636,0.354838699,0.45161289,0.322580636,0.354838699,0.193548381,0.548387051,0.258064508,0.354838699,0.387096763,0.354838699,0.322580636,0.387096763,0.483870953,111.2857143,0.325714298,0.364055287,1
173,121,167,85,77,105,99,69,93,163,112,154,134,91,410,369,351,738,545,373,889,320,1700,337,356,334,579,237,248,184,653,468,268,790,251,1607,174,244,180,445,0.096000001,0.916800022,0.225600004,0.13440001,0.163200006,0.081600003,0.96480006,0.105600007,0.091200002,0.244800016,0.532800019,0.115200005,0.158400014,0.302400023,0.258064508,0.45161289,0.387096763,0.290322572,0.322580636,0.225806445,0.548387051,0.258064508,0.225806445,0.419354826,0.290322572,0.258064508,0.322580636,0.516129017,117.3571429,0.295200014,0.341013813,1
164,104,166,100,89,91,113,86,101,169,91,151,126,88,376,395,401,524,517,343,564,409,505,349,332,286,544,212,291,235,424,428,252,451,323,404,180,241,135,418,0.513600051,0.849600017,0.936000049,0.864000022,0.172800004,0.096000001,0.302400023,0.336000025,0.110400006,0.225600004,0.77760005,0.105600007,0.624000013,0.878400028,0.290322572,0.516129017,0.580645144,0.45161289,0.322580636,0.322580636,0.516129017,0.225806445,0.322580636,0.45161289,0.419354826,0.258064508,0.419354826,0.516129017,117.0714286,0.485142879,0.400921647,1
154,117,167,100,61,98,112,122,102,147,89,135,115,116,342,339,342,382,561,327,485,369,454,852,235,237,760,188,222,175,282,500,229,373,247,352,705,146,102,645,0.13440001,0.201600015,0.302400023,0.787200034,0.552000046,0.072000004,0.600000024,0.120000005,0.110400006,0.302400023,0.720000029,0.091200002,0.124800004,0.854400039,0.322580636,0.354838699,0.580645144,0.419354826,0.387096763,0.193548381,0.516129017,0.290322572,0.290322572,0.516129017,0.387096763,0.258064508,0.258064508,0.516129017,116.7857143,0.355200019,0.377880173,1
139,112,151,83,138,91,94,111,102,158,98,119,151,110,696,391,281,666,700,336,469,354,433,388,335,345,614,557,279,130,583,562,245,375,243,331,230,237,226,463,0.129600003,0.772800028,0.211200014,0.139200002,0.13440001,0.331200004,0.715200007,0.32160002,0.120000005,0.302400023,0.892800033,0.100800008,0.163200006,1.003200054,0.290322572,0.387096763,0.354838699,0.258064508,0.354838699,0.290322572,0.419354826,0.258064508,0.354838699,0.548387051,0.387096763,0.225806445,0.419354826,0.548387051,118.3571429,0.381257158,0.364055284,1
